alpha,mean_row_entropy,rank_eff_P,max_p_mean
0.1,4.153937877939413,5.449946171850355,0.019653989382407824
0.12589254117941673,4.151042092563521,6.835607538953027,0.020834427924142095
0.15848931924611134,4.146450276892181,8.634833824793366,0.02240717623713189
0.19952623149688797,4.1391697880522,10.926865104906573,0.024530957060340426
0.251188643150958,4.12762941917447,13.77323576944235,0.027445459587127755
0.31622776601683794,4.109347563684927,17.19520234565059,0.031521800608428394
0.3981071705534973,4.080421192590092,21.143962709093234,0.037348394545622235
0.5011872336272724,4.03476262254095,25.466409622056005,0.04587614484407478
0.6309573444801934,3.9630365572412325,29.871709089928896,0.05865389947488645
0.7943282347242815,3.8514320321213797,33.928182840121906,0.07816426700918505
1.0,3.681067462989744,37.14283574837335,0.10813224469758267
1.2589254117941675,3.4305394949415193,39.192462106584145,0.1532459302015175
1.584893192461114,3.086343347537701,40.1974701840666,0.2171357498110419
1.9952623149688797,2.661453650953164,40.49016035440227,0.2986122254275958
2.511886431509581,2.2026928335496336,40.440653193921804,0.3905001666056048
3.1622776601683795,1.7673506241413126,40.1864610587053,0.48396510429722805
3.981071705534973,1.3927271547722253,39.728664067564196,0.5726999637432004
5.011872336272725,1.0870731989588185,39.12797485947885,0.6535774527352258
6.309573444801933,0.8404131531787151,38.478603283515255,0.7252441236781584
7.943282347242818,0.6406632498001618,37.85860696805001,0.7865361755044906
10.0,0.4812514077973767,37.32250607877591,0.8364633751140219
